P_total_dBW,PPV_no_diversity,PPV_fixed_diversity,PPV_adaptive_diversity,no_interleaver,interleaver,fixed,adaptive
-6.00,9.997778e-01,9.996667e-01,9.137854e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
-4.60,9.916208e-01,9.880164e-01,8.104182e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
-3.20,9.143847e-01,8.863950e-01,6.933746e-01,9.993333e-01,9.973333e-01,9.996667e-01,9.996667e-01
-1.80,7.082254e-01,6.250300e-01,4.891964e-01,9.860000e-01,9.803333e-01,9.913333e-01,9.823333e-01
-0.40,4.860068e-01,3.600084e-01,2.843765e-01,9.306667e-01,9.153333e-01,9.366667e-01,8.723333e-01
1.00,3.428347e-01,2.106675e-01,1.673250e-01,8.026667e-01,7.576667e-01,7.553333e-01,6.313333e-01
2.40,2.601180e-01,1.263333e-01,1.004521e-01,6.870000e-01,5.623333e-01,5.160000e-01,3.633333e-01
3.80,2.073554e-01,7.333333e-02,5.859138e-02,6.210000e-01,4.073333e-01,3.043333e-01,1.873333e-01
5.20,1.943793e-01,6.500000e-02,5.254653e-02,5.883333e-01,3.036667e-01,1.873333e-01,1.176667e-01
6.60,1.868120e-01,5.533333e-02,4.404332e-02,5.670000e-01,2.576667e-01,1.220000e-01,8.300000e-02
8.00,1.750808e-01,4.733333e-02,3.771838e-02,4.986667e-01,2.130000e-01,8.200000e-02,6.166667e-02
9.40,1.699502e-01,4.266667e-02,3.358478e-02,4.606667e-01,1.796667e-01,5.866667e-02,4.800000e-02
10.80,1.694691e-01,5.033333e-02,4.032803e-02,4.020000e-01,1.530000e-01,5.800000e-02,5.300000e-02
12.20,1.573517e-01,4.566667e-02,3.648290e-02,3.236667e-01,1.330000e-01,5.333333e-02,4.866667e-02
13.60,1.367231e-01,3.500000e-02,2.781381e-02,2.683333e-01,1.020000e-01,4.233333e-02,4.133333e-02
15.00,1.086430e-01,2.800000e-02,2.250541e-02,1.906667e-01,7.633333e-02,4.600000e-02,3.966667e-02
